,ip4_prefix,ip_address,owner,latitude,longitude
244,76.223.122.0,76.223.122.150,Amazon.com Inc.,-31.9402999878,115.9670028687
245,76.223.122.0,76.223.122.150,Amazon.com Inc.,38.2924003601,27.156999588
246,76.223.122.0,76.223.122.150,Amazon.com Inc.,40.4967002869,-3.4458699226
247,76.223.122.0,76.223.122.150,Amazon.com Inc.,48.3538017273,11.7861003876
248,76.223.122.0,76.223.122.150,Amazon.com Inc.,-34.5592,-58.4156
249,76.223.122.0,76.223.122.150,Amazon.com Inc.,41.7859992981,-87.7524032593
250,76.223.122.0,76.223.122.150,Amazon.com Inc.,40.63980103,-73.77890015
251,76.223.122.0,76.223.122.150,Amazon.com Inc.,-26.2425003052,28.1511993408
252,76.223.122.0,76.223.122.150,Amazon.com Inc.,55.4087982178,37.9062995911
253,76.223.122.0,76.223.122.150,Amazon.com Inc.,59.8003005981,30.2625007629
254,76.223.122.0,76.223.122.150,Amazon.com Inc.,19.4363002777,-99.0720977783
255,76.223.122.0,76.223.122.150,Amazon.com Inc.,29.9843997955,-95.3414001465
256,76.76.19.0,76.76.19.19,Amazon.com Inc.,48.9693984985,2.4413900375
257,76.76.19.0,76.76.19.19,Amazon.com Inc.,25.1295,56.3395
258,76.76.19.0,76.76.19.19,Amazon.com Inc.,4.70159,-74.1469
259,76.76.19.0,76.76.19.19,Amazon.com Inc.,25.7931995392,-80.2906036377
260,76.76.19.0,76.76.19.19,Amazon.com Inc.,38.1759986877,13.0909996033
261,76.76.19.0,76.76.19.19,Amazon.com Inc.,26.2707996368,50.6335983276
262,76.76.19.0,76.76.19.19,Amazon.com Inc.,47.5299987793,-122.3020019531
263,76.76.19.0,76.76.19.19,Amazon.com Inc.,12.9900054932,80.1692962646
264,76.76.19.0,76.76.19.19,Amazon.com Inc.,37.5583000183,126.791000366
265,76.76.19.0,76.76.19.19,Amazon.com Inc.,-33.9648017883,18.6016998291
266,76.76.19.0,76.76.19.19,Amazon.com Inc.,44.8819999695,-93.2218017578
267,76.76.19.0,76.76.19.19,Amazon.com Inc.,51.5052986145,0.0552779995
268,76.76.19.0,76.76.19.19,Amazon.com Inc.,33.94250107,-118.4079971
269,76.76.19.0,76.76.19.19,Amazon.com Inc.,44.5722007751,26.1021995544
270,76.76.19.0,76.76.19.19,Amazon.com Inc.,25.0776996613,121.233001709
271,76.76.19.0,76.76.19.19,Amazon.com Inc.,45.6795005798,-74.0386962891
272,76.76.19.0,76.76.19.19,Amazon.com Inc.,-33.4925,143.2115
273,76.76.19.0,76.76.19.19,Amazon.com Inc.,8.4821195602,76.9200973511
274,76.76.19.0,76.76.19.19,Amazon.com Inc.,-37.0080986023,174.792007446
275,76.76.19.0,76.76.19.19,Amazon.com Inc.,19.0886993408,72.8678970337
276,76.76.19.0,76.76.19.19,Amazon.com Inc.,-22.9104995728,-43.1631011963
